Event Date,Case Status,Inspection Number,Establishment Name,Report ID,Street Address,City,State,ZIP Code,Union Status,Abstract,Summary,NAICS,Age,Sex,Degree of Injury,Occupation,Coordinates
04/08/2020,CLOSED,1472085.015,Mia'S Framing Company,627700,6929 S. Sooner Road,Oklahoma City,OK,73135,NonUnion,Employee dies from possible heat-related illness,"At 3:00 p.m. on April 8, 2020, Employee #1, employed by a construction framing company, was working at a construction site for a new multifamily residential structure.  Upon returning from lunch, the employee became ill with dizziness, headache, and tightening of chest.  The employee lost consciousness and died. Cause of death was reported as possible heat exhaustion/heat stroke.",238130/Framing Contractors,51,M,Fatality,Construction Laborer,"(35.39264600258303, -97.43256537315499)"
02/20/2020,CLOSED,1465397.015,"Mattress Firm, Inc.",521700,91 N. Pinnacle Drive,Romeoville,IL,60446,NonUnion,Employee amputates fingertip in mattress bag heat sealer jaw,"At 11:00 a.m. on February 20, 2020, an employee working for a mattress manufacturer was placing mattress in plastic between the jaws of a bag heat sealer in the QA section of the facility. The employee caught his left middle finger in the heat sealer jaws as they closed. The employee amputated his fingertip and was hospitalized.",337910/Mattress Manufacturing,45,M,Hospitalized injury,,"(41.6393393515873, -88.09871317936508)"
02/18/2020,CLOSED,1469026.015,Pepperidge Farm Inc.,420600,2222 Interstate Drive,Lakeland,FL,33805,NonUnion,Employee amputates thumb while using heat cramp cracker mach,"At 9:15 a.m. on February 18, 2020, an employee was working on the heat cramp cracker machine. The employee removed the guard and stuck his finger into the point of operation.  The employee amputated his right thumb and was hospitalized.",311811/Retail Bakeries,23,M,Hospitalized injury,"Laborers, except construction","(28.07533318562368, -81.95190757991543)"
10/23/2019,CLOSED,1439971.015,Black Construction Corp.,936300,Rt 3 Road Widening Project,Dededo,GU,96912,NonUnion,Employee becomes unresponsive due to possible heat stroke,"At 2:45 p.m. on October 23, 2019, an employee working as a carpenter for a construction contractor was doing form work on a road widening project. The employee started shaking and became unresponsive. The employee was hospitalized to treat possible heat exhaustion or heat stroke.","237310/ Highway, Street, and Bridge Construction",47,M,Hospitalized injury,Carpenters,"(13.5256139, 144.8226633)"
10/15/2019,CLOSED,1439439.015,Iowa Precision Forge,751910,510 S Howell St,Davenport,IA,52802,NonUnion,Employee amputates finger between heat shield and bar rest,"At 2:30 p.m. on October 15, 2019, an employee was attempting to reposition a 34.5 inch by 96 inch 836 grade steel heat shield on a shop-made furnace. The heat shield was attached to a set of brackets attached to a gas powered furnace. When the employee pulled the shield forward, the part slipped off of the brackets and fell. The employee caught his left index finger in between the falling heat shield and the 2-inch diameter bar rest. The employee amputated his finger above the second knuckle and was hospitalized.",332111/Iron and Steel Forging,61,M,Hospitalized injury,"Laborers, except construction","(41.51285404594595, -90.61591211306306)"
10/15/2019,CLOSED,1443747.015,"Carlson Lath & Plaster, Inc.",950633,Near Xing Oflimonite And Harrison Ave.,Eastvale,CA,92880,NonUnion,Employee suffers heat illness while plastering,"At 2:30 p.m. on October 15, 2019, an employee was plastering and applying stucco on the exterior wall of 2-story residential construction project when he started feeling cramps and shortness of breath. Emergency services were called and the employee was transported to a regional medical center and admitted to treat heat exhaustion.",238310/Drywall and Insulation Contractors,41,M,Hospitalized injury,"Laborers, except construction","(33.94298891958763, -117.57972322983248)"
10/07/2019,CLOSED,1438235.015,"Cup Pac Packaging, Inc.",521400,638 Progressive Lane,South Beloit,IL,61080,NonUnion,Employee amputates finger in heat sealer,"At 2:30 p.m. on October 7, 2019, an employee was loading cups into a machine when she noticed that one of the cups that was about to go under the heat sealer was not fully aligned within the die holder. The employee attempted to align the cup by pushing it with her finger just as it was entering the point of operation of the heat sealer. The employee was hospitalized to treat an amputation to her right middle finger. Surgery following the amputation required additional amputation of the finger.",561910/Packaging and Labeling Services,54,F,Non Hospitalized injury,,"(42.48416823202934, -89.03293724987775)"
10/03/2019,CLOSED,1435594.015,U.S. Postal Service,420300,405 Ferrell Ave,Belmont,NC,28012,Union,Letter carrier experiences distress while delivering in heat,"At 11:15 a.m. on October 3, 2019, an employee was working as a letter carrier for an independent government agency that was responsible for providing postal service in the United States. He was delivering mail. A customer stated that she initially heard her mail being delivered at around 11:00 a.m. About fifteen to twenty minutes later, she walked outside and noticed the carrier in front of her home, leaning into a bush with his head down. She saw him drop the mail, pick it up it, and then drop it again. The carrier then walked into a shaded area and fell to one knee while holding onto a fence. He had been on the street about an hour after leaving the office. This part of his route was a park and loop, and it took approximately an hour to complete. The local temperature in this North Carolina city at the time was 93 degrees F (34 degrees C). The carrier's vital signs were good, but his blood pressure was elevated. His speech was slurred. He was conscious the entire time but making little sense. He was hospitalized.",491110/Postal Service,46,M,Hospitalized injury,"Mail carriers, postal service","(35.22978320436508, -81.04348382976191)"
10/02/2019,CLOSED,1436475.015,"Gl Staffing Services, Inc.",418800,1002 Se Port St. Lucie Blvd,Port Saint Lucie,FL,34952,NonUnion,Employee passes out due to dehydration and heat stress,"At 1:00 p.m. on October 2, 2019, an employee was cutting back vegetation when he passed out during lunch. The employee was hospitalized for treatment of heat stress and dehydration.",561311,36,M,Hospitalized injury,"Laborers, except construction","(27.29018872894737, -80.2979826721292)"
10/02/2019,CLOSED,1436887.015,Bird Electric Inc.,625400,125 Green Oaks Dr.,Bastrop,TX,78602,NonUnion,Employee incurs heat illness while shoveling wet dirt,"At 4:30 p.m. on October 2, 2019, Employee #1 started to feel bad and collapsed while shoveling wet dirt. Employee #1 suffered heat illness and was hospitalized.",238210/Electrical Contractors,30,M,Hospitalized injury,Electricians,"(30.113815884467453, -97.31285007433432)"
10/02/2019,CLOSED,1438448.015,Rw Smith Company,419400,2013 University Ave,Oxford,MS,38655,NonUnion,Employee suffers heat stress demolishing wall,"At 3:45 p.m. on October 2, 2019, an employee was demolishing a concrete wall when he suffered heat exhaustion and required hospitalization.",236220/Commercial and Institutional Building Construction,40,M,Hospitalized injury,Construction Laborer,"(34.360564067904285, -89.5346990570462)"
09/26/2019,CLOSED,1443112.015,"Staffing Express, Inc.",420600,401 South 50th Street,Tampa,FL,33619,NonUnion,Employee incurs heat exhaustion while preparing cars for auc,"At 11:20 a.m. on September 26, 2019, a temporary employee was working for an automobile auction where his sole responsibility was to make sure all cars have no problem starting. The employee's shift ran from 8:00 a.m. to 11:20 a.m. He began to feel dizzy after about 1 hour of work and told a coworker (Supervisor) he was not feeling well. The coworker had the employee move out of the sun to a cooler place to rest.  While sitting there, the employee starting feeling worse and the coworker called 911. The employee was trasnported the hospital for observation. He had preexisting health issues due to a previous surgery for a triple bypass. The employee had low blood pressure and was hospitalized to treat heat exhaustion. The employer reported that the employee did not disclose his prior health issues.",561320/Temporary Help Services,57,M,Hospitalized injury,"Laborers, except construction","(27.939185573060346, -82.37237629655174)"
09/26/2019,CLOSED,1443196.015,Cox Automotive Inc.,420600,401 South 50th Street,Tampa,FL,33619,NonUnion,Employee incurs heat exhaustion while preparing cars for auc,"At 11:20 a.m. on September 26, 2019, a temporary employee was working for an automobile auction where his sole responsibility was to make sure all cars have no problem starting. The employee's shift ran from 8:00 a.m. to 11:20 a.m. He began to feel dizzy after about 1 hour of work and told a coworker (Supervisor) he was not feeling well. The coworker had the employee move out of the sun to a cooler place to rest.  While sitting there, the employee starting feeling worse and the coworker called 911. The employee was trasnported the hospital for observation. He had preexisting health issues due to a previous surgery for a triple bypass. The employee had low blood pressure and was hospitalized to treat heat exhaustion. The employer reported that the employee did not disclose his prior health issues.",441120/Used Car Dealers,57,M,Hospitalized injury,"Laborers, except construction","(27.939185573060346, -82.37237629655174)"
09/25/2019,CLOSED,1434066.015,"Premium Packing, Inc.",950612,American Farms Ranch #1,Chualar,CA,93925,NonUnion,Employee incurs heat exhaustion while harvesting vegetables,"At 2:40 p.m. on September 25, 2019, an employee who worked as a Farm Labor Contractor was working in a farm field with approximately 29 coworkers harvesting broccoli with a harvesting machine and tractor.  The employee was working on a wing of the harvesting machine. Temperatures were unseasonably warm that day and the employee was building and organizing boxes in direct sunlight near the motor exhaust. The employee began to vomit, feel weak, and experience shortness of breath.  The employee received first aid from coworkers including applying cool wet clothing to help her cool down until paramedics arrived. The employee was taken to the hospital, where she was admitted and diagnosed with heat exhaustion, dehydration, and near syncope.","115113/ Crop Harvesting, Primarily by Machine",36,F,Hospitalized injury,Hand cutting and trimming occupations,"(36.576986, -121.490598)"
09/21/2019,CLOSED,1437261.015,Ca Department Forestry & Fire Protection,950633,Intersection Of Moreno Beach And Via Del Lago,Moreno Valley,CA,92554,NonUnion,Employee experiences possible heat exhaustion while fighting,"At 10:00 p.m. on September 21, 2019, an employee was working at a temporary site fighting a brush fire for a State fire protection service. The employee was an inmate at a State rehabilitation center and was working as firefighter for the service as full-time employee. The employee had been fighting the fire since about 7:00 p.m. and about 10:30 p.m. a coworker (Supervisor) noticed the employee didn't look well. The employer reported experiencing cramps throughout his entire body. The coworker brought the employee to the fire truck and instructed him to relax. Paramedics checked his blood pressure and pulse. The employee was transported to the hospital, where he was admitted for two days to treat heat exhaustion.",922140/Correctional Institutions,41,M,Hospitalized injury,Firefighting occupations,"(33.91717529,-117.25066376)"
09/18/2019,CLOSED,1433401.015,Phoenix Labor Group Llc,419700,306 Pinewood Ln,Pensacola,FL,32507,NonUnion,Employee suffers heat stress while working inside the engine,"At 3:30 p.m. an employee was working inside the engine room of a tugboat, a shore-side moored offshore towing vessel, removing a bilge valve. The employee collapsed and then regained consciousness. The employee suffered dehydration and heat stress, as a result of hot temperatures and humidity, insufficient water intake and insufficient breaks. The employee was hospitalized.",561320/Temporary Help Services,46,M,Hospitalized injury,Pipelayer,"(30.35912943371758, -87.34101950273775)"
09/18/2019,CLOSED,1433326.015,"Cougar Contracting, Llc",418800,3875 Citi Gate Drive,Naples,FL,34116,NonUnion,Employee suffers heat exhaustion while installing water line,"At 3:30 p.m. on September 18, 2019, an employee who works as a rigger for a utilities contractor was installing water lines at a new construction site. The employee collapsed from heat exhaustion and was hospitalized.",237110/Water and Sewer Line and Related Structures Construction,25,M,Hospitalized injury,"Laborers, except construction","(26.185005356382977, -81.70606384148937)"
09/16/2019,CLOSED,1432235.015,U.S. Postal Service,627100,2300 Wildwood Avenue,North Little Rock,AR,72120,Union,Employee Suffers Heat Stroke While Delivering Mail,"At 8:34 p.m. on September 16, 2019, an employee was delivering mail for the U.S. Postal Service. While working, the employee became light-headed and could not read. The employee sent a text to his supervisor and called 911. The employee was admitted for the hospital for an overnight stay and treated for heat stroke which affected his heart.",491110/Postal Service,62,M,Hospitalized injury,"Postal clerks, excluding mail carriers","(34.85123428014599, -92.21617288540146)"
09/14/2019,CLOSED,1432907.015,Crestview Rv Superstore,625400,16473 Interstate 35 N,Selma,TX,78154,NonUnion,Employee experiences heat stroke,"At 7:00 p.m. on September 14, 2019, an employee was working as a recreational vehicle sales representative which required her to go out onto the lot and talk to customers about the vehicles. When not on the lot, the employee had an air conditioned office that she worked in. The employee was hospitalized to treat a heat stroke.",441210/Recreational Vehicle Dealers,49,F,Hospitalized injury,"Sales representatives, mining, mfg., & wholesale","(29.574445283917527, -98.27460191690722)"
09/14/2019,CLOSED,1431209.015,Wonderful Pistachios & Almonds Llc,950625,5970 Road 13,Firebaugh,CA,93622,NonUnion,Employee suffers heat illness while greasing equipment,"At 2:30 p.m. on September 14, 2019, an employee was greasing the equipment around the huller machines when she began to feel dizzy, disoriented, weak and vomited. The employee was treated for heat illness but did not require hospitalization.",311911/Roasted Nuts and Peanut Butter Manufacturing,50,F,Non Hospitalized injury,Mechanical controls and valve repairers,"(36.8432599476923, -120.6977380646154)"
09/11/2019,CLOSED,1432465.015,"Young Brothers, Limited",936300,1331 N. Nimitz Hwy,Honolulu,HI,96817,Union,Employee suffers heat cramps after work shift,"At 4:30 p.m. on September 11, 2019, an employee was completing her work shift at a shipping and receiving dock and was starting her personal vehicle to return home when she experienced severe cramps to her legs and abdomen. The employee was hospitalized for treatment of heat cramps.",483113/Coastal and Great Lakes Freight Transportation,60,F,Hospitalized injury,"Freight, stock and material handlers, n.e.c.","(21.320077139160837, -157.86150062307692)"
09/11/2019,CLOSED,1432378.015,"Martinez And Sons Trucking, Llc",418800,372 S Barfield Hwy,Pahokee,FL,33476,NonUnion,Employee suffers heat exhaustion planting sugarcane,"At 10:45 a.m. on September 11, 2019, an employee was planting sugarcane when he began experiencing symptoms of heat stress. The employee was hospitalized for treatment of heat exhaustion.",111930/Sugarcane Farming,21,M,Hospitalized injury,Agricultural and food scientists,"(26.81816227972973, -80.66045480405405)"
09/11/2019,CLOSED,1431894.015,"Trialco, Inc.",521700,900 E.  Lincoln Hwy,Chicago Heights,IL,60411,NonUnion,Employee suffers heat stress while pouring molten metal,"At 7:30 a.m. on September 11, 2019, an employee was pouring molten aluminum when he started to feel sick from the heat, but thought he could finish the pour and continued working. At 2:30 p.m. the employee went to the lunchroom to cool off but became incoherent. A coworker called an ambulance, and the employee was hospitalized to treat for heat stress and dehydration.",331314/Secondary Smelting and Alloying of Aluminum,40,M,Hospitalized injury,"Furnace, kiln and oven operators","(41.51073908091716, -87.61554793350592)"
09/11/2019,CLOSED,1423823.015,United Parcel Service Inc.,626300,1401 N Carroll,Dallas,TX,75204,Union,Employee suffers heat illness while delivering packages,"At 7:00 p.m. on September 11, 2019, an employee was driving package car, delivering and picking up packages when he developed a heat -related illness. The employee was hospitalized for treatment of rhabdomyolysis.",492110/Couriers,30,M,Hospitalized injury,,"(32.799675619128784, -96.78992293219697)"
09/10/2019,CLOSED,1431871.015,"Waste Management Of Mississippi, Inc.",419400,1450 Country Club Dr.,Jackson,MS,39201,NonUnion,Employee suffers heat exhaustion while collecting waste,"At 4:45 p.m. on September 10, 2019, an employee was working outdoors collecting waste on a residential route when he experienced symptoms of heat illness early on in the day. At the end of the day, the employee was hospitalized for treatment of heat exhaustion.",562998/All Other Miscellaneous Waste Management Services,25,M,Hospitalized injury,,"(32.2944130275, -90.1857725625)"
09/10/2019,CLOSED,1449407.015,"Central Warehousing, Inc.",625700,4810 Duhon Lane,Alexandria,LA,71302,NonUnion,Employee experiences heat stroke and cardiovascular disease,"At 1:30 p.m. on September 10, 2019, an employee had been working in a warehouse in a non-air conditioned section and was found unresponsive by a coworker while returning from lunch.  The employee was killed due to heat stroke and cardiovascular disease.",493130/Farm Product Warehousing and Storage,63,M,Fatality,"Miscellaneous machine operators, n.e.c.","(31.270595341085272, -92.43065540671834)"
09/07/2019,CLOSED,1433998.015,Usps,728500,735 Vanhoorebeke,Joplin,MO,64801,Union,Employee suffers heat exhaustion while delivering parcels,"At 2:00 p.m. on September 7, 2019, an employee was dismounted his vehicle and delivered a parcel. While returning to his vehicle, he fainted and cut his right brow on the mailbox.  The temperature was approximately 92 degrees, with relative humidity of 52.  The employee suffered heat exhaustion and a laceration to his brow, resulting in hospitalization.",491110/Postal Service,44,M,Hospitalized injury,"Mail carriers, postal service","(37.09776969615754, -94.49675908328531)"
09/06/2019,OPEN,1431324.015,Caliber Holdings Corporation,419700,7208 Golden Wing Rd,Jacksonville,FL,32244,NonUnion,Employee develops heat exhaustion after spray painting tasks,"At 6:00 p.m. on September 6, 2019, an employee was mixing paint prepping for a spray painting project. After work, the employee felt ill due to dehydration and the hot work environment in the heated paint booth. The wet bulb globe temperature (WBGT) was 88.8 degrees Fahrenheit (heat index of 125 degrees Fahrenheit) in the paint booth and the mixing room. The employee required hospitalization due to heat exhaustion.","811121/ Automotive Body, Paint, and Interior Repair and Maintenance",53,M,Hospitalized injury,Painting and paint spraying machine operators,"(30.205810881291306, -81.76157038525673)"
09/06/2019,CLOSED,1430544.015,"Beyer 22, Llc",419700,4618 Apache Ave.,Jacksonville,FL,32210,NonUnion,Employee experiences heat-related illness while installing g,"At 4:00 p.m. on September 6, 2019, an employee was installing gutters.  The employee was feeling cramps due to heat-related illness.  The employee was hospitalized.",238170/Siding Contractors,36,M,Hospitalized injury,Installers And Repairers,"(30.269066924635034, -81.7256809520073)"
09/06/2019,CLOSED,1436104.015,"Brothers Construction, Inc.",418800,116 Love St,Jupiter,FL,33477,NonUnion,Employee experiences heat stress,"At 1:30 p.m. on September 6, 2019, an employee was hospitalized to treat heat stress after complaining about heat cramps.",236220/Commercial and Institutional Building Construction,48,M,Hospitalized injury,Carpenters,"(26.922549548339486, -80.0799853195572)"
09/05/2019,CLOSED,1430073.015,Valley Produce Harvesting & Hauling Co.,418800,6000 Duda Rd,Belle Glade,FL,33430,NonUnion,Employee suffers heat injury while planting sugarcane,"At 10:30 a.m. on September 5, 2019, an employee was planting sugarcane on his first day on the job when he began exhibiting sign of heat illness. The employee was hospitalized for treatment of heat stress.",111930/Sugarcane Farming,25,M,Hospitalized injury,Occupation Not Listed,"(26.68574680845588, -80.67046445772058)"
09/05/2019,CLOSED,1429027.015,Aerotek,728500,304 Ne 200th Road,Warrensburg,MO,64093,NonUnion,Employee collapses from heat and is killed,"At 1:15 p.m. on September 5, 2019, an employee was loading boxes into a trailer from a conveyor.  The employee was discovered later by a coworker and he had collapsed.  The employee succumbed to the heat of the day and was killed.",561320/Temporary Help Services,50,M,Fatality,"Freight, stock and material handlers, n.e.c.","(38.76968123327814, -93.73339510927153)"
09/05/2019,CLOSED,1433947.015,"T Lyman Golf, Llc",420600,4801 N Forest Ridge Blvd,Beverly Hills,FL,34465,NonUnion,Employee incurs heat exhaustion while digging for sprinklers,"At 4:30 p.m. on September 5, 2019, an employee was using a shovel while working on the irrigation system relocating sprinkler system components.  The calculated environmental Wet Bulb Globe Temperature (WBGT) was 85.7 degrees Fahrenheit as calculated using the Argonne National Laboratory (ANL) utility.  The employee became overheated and developed heat exhaustion, requiring hospitalization. The employer had not developed a Heat Injury Prevention Program designed to protect employees from heat-related illnesses.",713910/Golf Courses and Country Clubs,55,M,Hospitalized injury,"Laborers, except construction","(28.9262067152, -82.472689784)"
09/05/2019,CLOSED,1430968.015,Sondance Painting Inc,950631,9672 Maureen Dr #4,Garden Grove,CA,92841,NonUnion,Employee is sickened by heat-related illness,"At 3:30 p.m. on September 5, 2019, Employee #1 had been painting at an apartment since 7:30 a.m.  Over the course of the day, as temperatures rose, he developed worsening symptoms, including dizziness and weakness, related to the heat. Drinking water did not relieve the symptoms.  The employee collapsed.  The employee was transported to the hospital, treated for heat exhaustion, and released without hospitalization.",238320/Painting and Wall Covering Contractors,25,M,Non Hospitalized injury,"Painters, construction and maintenance","(33.78694282693085, -117.97627827166833)"
09/04/2019,CLOSED,1430599.015,"Viking Contractors, Llc",626700,1 Potomac Drive,Houston,TX,77057,NonUnion,Employee is sickened by heat-related illness,,238120/Structural Steel and Precast Concrete Contractors,60,M,Hospitalized injury,,"(29.746704026773454, -95.48581531762014)"
09/03/2019,CLOSED,1430212.015,Sukut Construction Inc,950631,Los Patronas/Cow Camp Rd,Mission Viejo,CA,92694,NonUnion,Employee is sickened by heat exhaustion,"At 5:30 p.m. on September 3, 2019, Employee #1, employed by a construction company, was cutting lumber for coworkers and carrying water to them all day. At the end of the workday, the employee started cramping.  He was drinking water, walking around, and stretching.  He told his coworkers he was okay and that he just needed more time to stretch.  The employee carpooled with coworkers, and on the way home he asked to be dropped off at the hospital.  The employee received medical treatment for heat exhaustion and was released without hospitalization.",236220/Commercial and Institutional Building Construction,36,M,Non Hospitalized injury,Construction laborers,"(33.54809098587482, -117.62780808083615)"
09/03/2019,CLOSED,1429942.015,"S. Mendoza Complete Lawn Care, Inc.",418800,248 Seahorse Court,Marco Island,FL,34145,NonUnion,Employee suffers heat injury while landscaping,"At 2:50 p.m. on September 3, 2019, an employee was performing landscaping work in hot humid temperatures when he fainted. The employee was hospitalized for treatment of a heat injury.",561730/Landscaping Services,51,M,Hospitalized injury,"Laborers, except construction","(25.94002442, -81.71595766086021)"
09/03/2019,CLOSED,1429474.015,Acco Engineered Systems Inc.,950615,1260 Railroad Ave.,Vallejo,CA,94592,Union,Employee working outdoors is treated for heat-related illnes,"At 2:30 p.m. on September 3, 2019, Employee #1 had been using a forklift to unload vehicles and move equipment and materials around the employer's fabrication yard.  He also had assisted in pipefitting activities.  He was finishing the work day and, not feeling well, went to rest in his personal car before leaving the worksite.  The employee felt dizzy and nauseous, and he temporarily lost consciousness.  He was transported to the hospital, where he was treated for heat-related illness and dehydration and then released.","238220/ Plumbing, Heating, and Air-Conditioning Contractors",54,M,Non Hospitalized injury,"Plumber, pipefitter and steamfiter apprentices","(38.09491204545454, -122.26963763636363)"
09/03/2019,CLOSED,1430077.015,"Magnolia Rental & Sales, Inc.",419400,397 Hw 6 West,Oxford,MS,38655,NonUnion,Employee suffers heat injury while putting up tent,"At 3:30 p.m. on September 3, 2019, an employee was putting up tenting at a football stadium when he became overheated. The employee was hospitalized for treatment of a heat-related injury.",561499/All Other Business Support Services,21,M,Hospitalized injury,"Laborers, except construction","(34.360564067904285, -89.5346990570462)"
08/28/2019,CLOSED,1428452.015,"Randall Engineered Wall Systems, Inc.",420600,3255 Clarcona Rd.,Apopka,FL,32703,NonUnion,Employee experiences heat-related illness,"At 12:45 p.m. on August 28, 2019, Employee #1, employed by a construction company, was working outside in the direct sun, installing rebar and preparing the pour of cement to a precast wall.  On that day, the outdoor heat reached 103 degrees Fahrenheit with 57 percent humidity, for a heat index of 130.  The employee lost consciousness while walking to the break room.  He was transported to the hospital and admitted for treatment of dehydration and heat-related illness.",238120/Structural Steel and Precast Concrete Contractors,44,M,Hospitalized injury,"Construction trades, n.e.c.","(28.66311634923729, -81.50531055094281)"
08/28/2019,CLOSED,1426815.015,"Crowther Roofing And Sheet Metal Of Florida, Inc.",418800,3440 S Ocean Blvd,South Palm Beach,FL,33480,NonUnion,Employee experiences heat-related incident and falls from cr,"At 12:00 p.m. on August 28, 2019, Employee #1, employed by a roofing contractor, was engaged in roofing work at a multifamily residential building.  He was working from the top of a truck mounted crane when he experienced symptoms of heat stress / heat-related illness.  The employee fell from the crane.  He was transported to the hospital and admitted for treatment of the injuries and illness.",238160/Roofing Contractors,45,M,Hospitalized injury,"Machine operators, not specified","(26.717883945517244, -80.04591466172414)"
08/28/2019,CLOSED,1430971.015,Peopleready Inc.,950623,1403 Hilltop Drive,Redding,CA,96003,NonUnion,Employee suffers heat exhaustion and kidney failure,"At 2:15 p.m. on August 28, 2019, an employee was performing general cleaning, to include sweeping, duties at a commercial building construction site. There were approximately five openings in the walls in which allowed air flow. The employee drank approximately 3 to 4 Gatorades and 2 gallons of water during the 8 hours he worked at the construction site. The employee left the main building and was walking down the hallway between the two commercial buildings when he vomited and fainted. The employee was not observe vomiting or losing consciousness by any sub-contractors or other employees at the job site. The employee regained consciousness and did not report the episode to the employer. The employee continued performing his cleaning duties until the end of his scheduled work hours. The employee's spouse came to the job site to pick him up at approximately 2:40 p.m. The employee went home, drank more water, laid down and fell asleep. The employee woke up and as he began to get up he suffered another loss of consciousness. The employee's spouse took him to a regional medical center, where he was admitted for treatment of dehydration, heat exhaustion, and kidney failure.",561320/Temporary Help Services,42,M,Hospitalized injury,Construction laborers,"(40.60518836770572, -122.3584178216352)"
08/28/2019,CLOSED,1427270.015,West Techs Chill Water Specialists,627510,415 W Wall St,Midland,TX,79701,NonUnion,Employee is crushed between heat exchanger and wall,"At 1:00 p.m. on August 28, 2019, Employee #1, employed by a heating and air conditioning company, was lifting a heat exchanger using a pulley system.  The heat exchanger swung, struck the employee in the chest and head, and crushed him against a nearby wall.  Employee #1 was killed.","238220/ Plumbing, Heating, and Air-Conditioning Contractors",27,M,Fatality,"Plumber, pipefitter and steamfiter apprentices","(31.99478691909938, -102.0827566302795)"
08/27/2019,CLOSED,1426584.015,B&M Builders Inc.,950621,3955 Missouri Flat Road,Placerville,CA,95667,NonUnion,Employee suffers heat exhaustion while finishing cement,"At 1:00 p.m. on August 27, 2019, an employee was finishing cement on a hot, humid day when he was overcome with heat exhaustion.",541330/Engineering Services,49,M,Non Hospitalized injury,Concrete and terrazzo finishers,"(38.73389632091503, -120.78749278104574)"
08/26/2019,CLOSED,1429084.015,Greyfox Construction Corp,420600,N Lake Destiny & Wymore Rd,Altamonte Springs,FL,32714,NonUnion,Employee receives heat stroke during sidewalk construction,"At 3:15 p.m. on August 26, 2019, an employee worked to construct a concrete sidewalk. During a break, a coworker found the employee slumped over and the employee was taken to the hospital and admitted to treat heat stroke.",236220/Commercial and Institutional Building Construction,30,M,Hospitalized injury,Construction laborers,"(28.667835135546873, -81.41176121796875)"
08/24/2019,CLOSED,1426354.015,Krogers,627100,8824 Geyer Springs,Little Rock,AR,72209,NonUnion,Employee suffers heat exhaustion,"At 1:00 p.m. on August 24, 2019, Employee # 1 was performing multiple tasks after power was restored to the location. He went to the restroom not feeling well. Employee # 1 was found by a coworker. He was sitting in the restroom and told the coworker that he did not feel well. Employee # 1 suffered heat exhaustion and acute kidney failure from excessive heat. He was hospitalized.",445110/Supermarkets and Other Grocery (except Convenience) Stores,65,M,Hospitalized injury,"Laborers, except construction","(34.67605400395137, -92.34886812477204)"
08/23/2019,CLOSED,1426003.015,"Stucco Systems, Inc.",950621,2990 5th St.,Davis,CA,95616,NonUnion,"Employee experiences heat illness, dehydration while pulling","At 1:15 p.m. on August 23, 2019, an employee pulled hose to the third story of a building. While working the employee began to experience symptoms of heat illness. Coworkers had employee rest in the shade and drink water and then called for emergency medical response. The employee was transported to the hospital and admitted to treat heat-related illness and dehydration.",238140/Masonry Contractors,33,M,Hospitalized injury,"Laborers, except construction","(38.54829604477807, -121.74356419020889)"
08/22/2019,CLOSED,1429811.015,The Aerospace Corporation,420600,U.S. Air Force Base,Port Canaveral,FL,32920,NonUnion,Employee suffers heat illness,"On August 22, 2019, an employee was using a knife to cut lightweight insulation material.  The employee walked approximately 100 feet to trailer and stumbled as they entered.  The employee was hospitalized for treatment of heat strain and left arm weakness as a result of the temperature and humidity.",541712,55,M,Hospitalized injury,Aerospace engineers,"(28.392020805124996, -80.60420110475)"
08/21/2019,CLOSED,1427819.015,Martini Drilling Corp.,950631,26891 La Alameda,Mission Viejo,CA,92691,NonUnion,Employee falls ill from heat exhaustion,"At approximately 6:00 p.m. on August 21, 2019, an employee became ill from heat exhaustion.  The employee was treated for heat exhaustion and released from the hospital.",213111/Drilling Oil and Gas Wells,28,M,Non Hospitalized injury,"Helpers, construction trades","(33.615284826787736, -117.66521882834935)"
08/20/2019,CLOSED,1441389.015,Vivint Solar Developer Llc,950633,77519 Michigan Drive,Palm Desert,CA,92210,NonUnion,Employee experiences heat-related illness symptoms while roo,"At 4:00 p.m. on August 20, 2019, an employee worked as a roofer to remove tile, clean and install shingles. While working the employee began to experience heat-related illness symptoms and emergency medical services were called. The employee was taken to the hospital for treatment without hospitalization.",238160/Roofing Contractors,25,M,Non Hospitalized injury,Roofers,"(33.72225427804878, -116.34889573414634)"
08/16/2019,CLOSED,1425666.015,Manteca Unified School District,950624,15851 South 5th St,Lathrop,CA,95330,Union,Employee experiences heat exhaustion,"At approximately 1:20 p.m. on August 16, 2019, an employee worked as a ""yard duty"" supervising students . The temperature on the day of the incident was over 80 degrees for her entire shift, exceeded 95 degrees by about 11 a.m., and peaked at 102 degrees at about 14:30 p.m.  In the early afternoon, after having worked outdoors since  11:30 a.m., the employee reported feeling lethargic and sweaty. She reported feeling ""disoriented"" when her  coworker saw her and took her to the nurse because ""she didn't look right."" The school nurse took her vitals and someone called 911 at 12:58 pm from the office. Paramedics responded to the scene at 13:00 p.m. of ""patient complained of weakness, dizziness, and headaches."" She was transported to a local hospital, where she was treated with IV fluids and cooling measures.",611110/Elementary and Secondary Schools,52,F,Non Hospitalized injury,Occupation Not Listed,"(37.809400708641974, -121.29394483703705)"
